Animal,Slice,Sex,Subregion,z-plane,placement order,baseline uM,baseline DA/p,Baseline Vmax (nM/s),stimulation (mA),output (uM),cycle stage
RtM1,R1,Male,mshell,rostral,p4,NA,NA,NA,0.24,NA,NA
RtM1,R1,Male,mshell,rostral,p4,NA,NA,NA,0.26,NA,NA
RtM1,R1,Male,mshell,rostral,p4,NA,NA,NA,0.30,NA,NA
RtM1,R1,Male,mshell,rostral,p4,NA,NA,NA,0.35,NA,NA
RtM1,R1,Male,mshell,rostral,p4,NA,NA,NA,0.40,NA,NA
RtM1,R1,Male,mshell,rostral,p4,NA,NA,NA,0.45,NA,NA
RtM1,R1,Male,mshell,rostral,p4,NA,NA,NA,0.50,NA,NA
RtM1,R1,Male,mshell,rostral,p4,NA,NA,NA,0.60,NA,NA
RtM1,R1,Male,mshell,rostral,p4,NA,NA,NA,0.70,NA,NA
RtM1,R1,Male,mshell,rostral,p4,NA,NA,NA,0.80,NA,NA
RtM1,R2,Male,dlCPu,rostral,p3,1.080,889.930,2751.050,0.14,0.000,NA
RtM1,R2,Male,dlCPu,rostral,p3,1.080,889.930,2751.050,0.16,0.000,NA
RtM1,R2,Male,dlCPu,rostral,p3,1.080,889.930,2751.050,0.18,0.490,NA
RtM1,R2,Male,dlCPu,rostral,p3,1.080,889.930,2751.050,0.20,0.693,NA
RtM1,R2,Male,dlCPu,rostral,p3,1.080,889.930,2751.050,0.22,0.754,NA
RtM1,R2,Male,dlCPu,rostral,p3,1.080,889.930,2751.050,0.24,0.776,NA
RtM1,R2,Male,dlCPu,rostral,p3,1.080,889.930,2751.050,0.26,0.739,NA
RtM1,R2,Male,dlCPu,rostral,p3,1.080,889.930,2751.050,0.30,0.739,NA
RtM1,R2,Male,dlCPu,rostral,p3,1.080,889.930,2751.050,0.35,0.701,NA
RtM1,R2,Male,dlCPu,rostral,p3,1.080,889.930,2751.050,0.40,0.784,NA
RtM1,R2,Male,dlCPu,rostral,p3,1.080,889.930,2751.050,0.45,0.814,NA
RtM1,R2,Male,dlCPu,rostral,p3,1.080,889.930,2751.050,0.50,0.791,NA
RtM1,R2,Male,dlCPu,rostral,p3,1.080,889.930,2751.050,0.60,0.821,NA
RtM1,R2,Male,dlCPu,rostral,p3,1.080,889.930,2751.050,0.70,0.844,NA
RtM1,R2,Male,dlCPu,rostral,p3,1.080,889.930,2751.050,0.80,0.844,NA
RtM1,R2,Male,vmCPu,rostral,p1,1.050,889.930,2751.050,0.14,0.000,NA
RtM1,R2,Male,vmCPu,rostral,p1,1.050,889.930,2751.050,0.16,0.000,NA
RtM1,R2,Male,vmCPu,rostral,p1,1.050,889.930,2751.050,0.18,0.300,NA
RtM1,R2,Male,vmCPu,rostral,p1,1.050,889.930,2751.050,0.20,0.558,NA
RtM1,R2,Male,vmCPu,rostral,p1,1.050,889.930,2751.050,0.22,0.618,NA
RtM1,R2,Male,vmCPu,rostral,p1,1.050,889.930,2751.050,0.24,0.670,NA
RtM1,R2,Male,vmCPu,rostral,p1,1.050,889.930,2751.050,0.26,0.644,NA
RtM1,R2,Male,vmCPu,rostral,p1,1.050,889.930,2751.050,0.30,0.747,NA
RtM1,R2,Male,vmCPu,rostral,p1,1.050,889.930,2751.050,0.35,0.833,NA
RtM1,R2,Male,vmCPu,rostral,p1,1.050,889.930,2751.050,0.40,0.901,NA
RtM1,R2,Male,vmCPu,rostral,p1,1.050,889.930,2751.050,0.45,0.901,NA
RtM1,R2,Male,vmCPu,rostral,p1,1.050,889.930,2751.050,0.50,0.893,NA
RtM1,R2,Male,vmCPu,rostral,p1,1.050,889.930,2751.050,0.60,0.918,NA
RtM1,R2,Male,vmCPu,rostral,p1,1.050,889.930,2751.050,0.70,0.944,NA
RtM1,R2,Male,vmCPu,rostral,p1,1.050,889.930,2751.050,0.80,0.927,NA
RtM1,R2,Male,core,rostral,p3,0.850,678.040,1768.530,0.14,0.000,NA
RtM1,R2,Male,core,rostral,p3,0.850,678.040,1768.530,0.16,0.000,NA
RtM1,R2,Male,core,rostral,p3,0.850,678.040,1768.530,0.18,0.086,NA
RtM1,R2,Male,core,rostral,p3,0.850,678.040,1768.530,0.20,0.214,NA
RtM1,R2,Male,core,rostral,p3,0.850,678.040,1768.530,0.22,0.306,NA
RtM1,R2,Male,core,rostral,p3,0.850,678.040,1768.530,0.24,0.371,NA
RtM1,R2,Male,core,rostral,p3,0.850,678.040,1768.530,0.26,0.442,NA
RtM1,R2,Male,core,rostral,p3,0.850,678.040,1768.530,0.30,0.527,NA
RtM1,R2,Male,core,rostral,p3,0.850,678.040,1768.530,0.35,0.599,NA
RtM1,R2,Male,core,rostral,p3,0.850,678.040,1768.530,0.40,0.620,NA
RtM1,R2,Male,core,rostral,p3,0.850,678.040,1768.530,0.45,0.656,NA
RtM1,R2,Male,core,rostral,p3,0.850,678.040,1768.530,0.50,0.670,NA
RtM1,R2,Male,core,rostral,p3,0.850,678.040,1768.530,0.60,0.691,NA
RtM1,R2,Male,core,rostral,p3,0.850,678.040,1768.530,0.70,0.734,NA
RtM1,R2,Male,core,rostral,p3,0.850,678.040,1768.530,0.80,0.713,NA
RtM1,R2,Male,lshell,rostral,p5,0.370,296.640,786.010,0.14,0.000,NA
RtM1,R2,Male,lshell,rostral,p5,0.370,296.640,786.010,0.16,0.000,NA
RtM1,R2,Male,lshell,rostral,p5,0.370,296.640,786.010,0.18,0.000,NA
RtM1,R2,Male,lshell,rostral,p5,0.370,296.640,786.010,0.20,0.000,NA
RtM1,R2,Male,lshell,rostral,p5,0.370,296.640,786.010,0.22,0.000,NA
RtM1,R2,Male,lshell,rostral,p5,0.370,296.640,786.010,0.24,0.028,NA
RtM1,R2,Male,lshell,rostral,p5,0.370,296.640,786.010,0.26,0.078,NA
RtM1,R2,Male,lshell,rostral,p5,0.370,296.640,786.010,0.30,0.113,NA
RtM1,R2,Male,lshell,rostral,p5,0.370,296.640,786.010,0.35,0.176,NA
RtM1,R2,Male,lshell,rostral,p5,0.370,296.640,786.010,0.40,0.212,NA
RtM1,R2,Male,lshell,rostral,p5,0.370,296.640,786.010,0.45,0.282,NA
RtM1,R2,Male,lshell,rostral,p5,0.370,296.640,786.010,0.50,0.282,NA
RtM1,R2,Male,lshell,rostral,p5,0.370,296.640,786.010,0.60,0.311,NA
RtM1,R2,Male,lshell,rostral,p5,0.370,296.640,786.010,0.70,0.353,NA
RtM1,R2,Male,lshell,rostral,p5,0.370,296.640,786.010,0.80,0.346,NA
RtM1,R2,Male,mshell,rostral,p2,0.230,190.700,393.010,0.14,0.000,NA
RtM1,R2,Male,mshell,rostral,p2,0.230,190.700,393.010,0.16,0.000,NA
RtM1,R2,Male,mshell,rostral,p2,0.230,190.700,393.010,0.18,0.000,NA
RtM1,R2,Male,mshell,rostral,p2,0.230,190.700,393.010,0.20,0.000,NA
RtM1,R2,Male,mshell,rostral,p2,0.230,190.700,393.010,0.22,0.000,NA
RtM1,R2,Male,mshell,rostral,p2,0.230,190.700,393.010,0.24,0.000,NA
RtM1,R2,Male,mshell,rostral,p2,0.230,190.700,393.010,0.26,0.031,NA
RtM1,R2,Male,mshell,rostral,p2,0.230,190.700,393.010,0.30,0.070,NA
RtM1,R2,Male,mshell,rostral,p2,0.230,190.700,393.010,0.35,0.124,NA
RtM1,R2,Male,mshell,rostral,p2,0.230,190.700,393.010,0.40,0.132,NA
RtM1,R2,Male,mshell,rostral,p2,0.230,190.700,393.010,0.45,0.155,NA
RtM1,R2,Male,mshell,rostral,p2,0.230,190.700,393.010,0.50,0.170,NA
RtM1,R2,Male,mshell,rostral,p2,0.230,190.700,393.010,0.60,0.186,NA
RtM1,R2,Male,mshell,rostral,p2,0.230,190.700,393.010,0.70,0.201,NA
RtM1,R2,Male,mshell,rostral,p2,0.230,190.700,393.010,0.80,0.232,NA
RtM2,R1,Male,dlCPu,rostral,p5,0.320,263.270,1572.030,0.14,0.000,NA
RtM2,R1,Male,dlCPu,rostral,p5,0.320,263.270,1572.030,0.16,0.000,NA
RtM2,R1,Male,dlCPu,rostral,p5,0.320,263.270,1572.030,0.18,0.000,NA
RtM2,R1,Male,dlCPu,rostral,p5,0.320,263.270,1572.030,0.20,0.000,NA
RtM2,R1,Male,dlCPu,rostral,p5,0.320,263.270,1572.030,0.22,0.000,NA
RtM2,R1,Male,dlCPu,rostral,p5,0.320,263.270,1572.030,0.24,0.023,NA
RtM2,R1,Male,dlCPu,rostral,p5,0.320,263.270,1572.030,0.26,0.031,NA
RtM2,R1,Male,dlCPu,rostral,p5,0.320,263.270,1572.030,0.30,0.047,NA
RtM2,R1,Male,dlCPu,rostral,p5,0.320,263.270,1572.030,0.35,0.054,NA
RtM2,R1,Male,dlCPu,rostral,p5,0.320,263.270,1572.030,0.40,0.093,NA
RtM2,R1,Male,dlCPu,rostral,p5,0.320,263.270,1572.030,0.45,0.124,NA
RtM2,R1,Male,dlCPu,rostral,p5,0.320,263.270,1572.030,0.50,0.155,NA
RtM2,R1,Male,dlCPu,rostral,p5,0.320,263.270,1572.030,0.60,0.217,NA
RtM2,R1,Male,dlCPu,rostral,p5,0.320,263.270,1572.030,0.70,0.256,NA
RtM2,R1,Male,dlCPu,rostral,p5,0.320,263.270,1572.030,0.80,0.272,NA
RtM2,R1,Male,vmCPu,rostral,p4,0.590,467.970,1429.520,0.14,0.000,NA
RtM2,R1,Male,vmCPu,rostral,p4,0.590,467.970,1429.520,0.16,0.000,NA
RtM2,R1,Male,vmCPu,rostral,p4,0.590,467.970,1429.520,0.18,0.153,NA
RtM2,R1,Male,vmCPu,rostral,p4,0.590,467.970,1429.520,0.20,0.429,NA
RtM2,R1,Male,vmCPu,rostral,p4,0.590,467.970,1429.520,0.22,0.505,NA
RtM2,R1,Male,vmCPu,rostral,p4,0.590,467.970,1429.520,0.24,0.528,NA
RtM2,R1,Male,vmCPu,rostral,p4,0.590,467.970,1429.520,0.26,0.528,NA
RtM2,R1,Male,vmCPu,rostral,p4,0.590,467.970,1429.520,0.30,0.544,NA
RtM2,R1,Male,vmCPu,rostral,p4,0.590,467.970,1429.520,0.35,0.567,NA
