Animal,Slice,Sex,Subregion,z-plane,placement order,baseline uM,baseline DA/p,Baseline Vmax (nM/s),stimulation (mA),output (uM),cycle stage
RtM6,R2,Male,core,rostral,p4,NA,NA,NA,0.30,NA,NA
RtM6,R2,Male,core,rostral,p4,NA,NA,NA,0.35,NA,NA
RtM6,R2,Male,core,rostral,p4,NA,NA,NA,0.40,NA,NA
RtM6,R2,Male,core,rostral,p4,NA,NA,NA,0.45,NA,NA
RtM6,R2,Male,core,rostral,p4,NA,NA,NA,0.50,NA,NA
RtM6,R2,Male,core,rostral,p4,NA,NA,NA,0.60,NA,NA
RtM6,R2,Male,core,rostral,p4,NA,NA,NA,0.70,NA,NA
RtM6,R2,Male,core,rostral,p4,NA,NA,NA,0.80,NA,NA
RtM6,R2,Male,lshell,rostral,p3,0.380,317.830,786.010,0.14,0.000,NA
RtM6,R2,Male,lshell,rostral,p3,0.380,317.830,786.010,0.16,0.000,NA
RtM6,R2,Male,lshell,rostral,p3,0.380,317.830,786.010,0.18,0.000,NA
RtM6,R2,Male,lshell,rostral,p3,0.380,317.830,786.010,0.20,0.040,NA
RtM6,R2,Male,lshell,rostral,p3,0.380,317.830,786.010,0.22,0.079,NA
RtM6,R2,Male,lshell,rostral,p3,0.380,317.830,786.010,0.24,0.141,NA
RtM6,R2,Male,lshell,rostral,p3,0.380,317.830,786.010,0.26,0.147,NA
RtM6,R2,Male,lshell,rostral,p3,0.380,317.830,786.010,0.30,0.209,NA
RtM6,R2,Male,lshell,rostral,p3,0.380,317.830,786.010,0.35,0.226,NA
RtM6,R2,Male,lshell,rostral,p3,0.380,317.830,786.010,0.40,0.248,NA
RtM6,R2,Male,lshell,rostral,p3,0.380,317.830,786.010,0.45,0.271,NA
RtM6,R2,Male,lshell,rostral,p3,0.380,317.830,786.010,0.50,0.299,NA
RtM6,R2,Male,lshell,rostral,p3,0.380,317.830,786.010,0.60,0.310,NA
RtM6,R2,Male,lshell,rostral,p3,0.380,317.830,786.010,0.70,0.333,NA
RtM6,R2,Male,lshell,rostral,p3,0.380,317.830,786.010,0.80,0.333,NA
RtM6,R2,Male,mshell,rostral,p5,NA,NA,NA,0.14,NA,NA
RtM6,R2,Male,mshell,rostral,p5,NA,NA,NA,0.16,NA,NA
RtM6,R2,Male,mshell,rostral,p5,NA,NA,NA,0.18,NA,NA
RtM6,R2,Male,mshell,rostral,p5,NA,NA,NA,0.20,NA,NA
RtM6,R2,Male,mshell,rostral,p5,NA,NA,NA,0.22,NA,NA
RtM6,R2,Male,mshell,rostral,p5,NA,NA,NA,0.24,NA,NA
RtM6,R2,Male,mshell,rostral,p5,NA,NA,NA,0.26,NA,NA
RtM6,R2,Male,mshell,rostral,p5,NA,NA,NA,0.30,NA,NA
RtM6,R2,Male,mshell,rostral,p5,NA,NA,NA,0.35,NA,NA
RtM6,R2,Male,mshell,rostral,p5,NA,NA,NA,0.40,NA,NA
RtM6,R2,Male,mshell,rostral,p5,NA,NA,NA,0.45,NA,NA
RtM6,R2,Male,mshell,rostral,p5,NA,NA,NA,0.50,NA,NA
RtM6,R2,Male,mshell,rostral,p5,NA,NA,NA,0.60,NA,NA
RtM6,R2,Male,mshell,rostral,p5,NA,NA,NA,0.70,NA,NA
RtM6,R2,Male,mshell,rostral,p5,NA,NA,NA,0.80,NA,NA
RtM1,C1,Male,dlCPu,caudal,p1,1.280,995.870,2751.050,0.14,0.000,NA
RtM1,C1,Male,dlCPu,caudal,p1,1.280,995.870,2751.050,0.16,0.079,NA
RtM1,C1,Male,dlCPu,caudal,p1,1.280,995.870,2751.050,0.18,0.471,NA
RtM1,C1,Male,dlCPu,caudal,p1,1.280,995.870,2751.050,0.20,0.676,NA
RtM1,C1,Male,dlCPu,caudal,p1,1.280,995.870,2751.050,0.22,0.770,NA
RtM1,C1,Male,dlCPu,caudal,p1,1.280,995.870,2751.050,0.24,0.786,NA
RtM1,C1,Male,dlCPu,caudal,p1,1.280,995.870,2751.050,0.26,0.770,NA
RtM1,C1,Male,dlCPu,caudal,p1,1.280,995.870,2751.050,0.30,0.856,NA
RtM1,C1,Male,dlCPu,caudal,p1,1.280,995.870,2751.050,0.35,0.888,NA
RtM1,C1,Male,dlCPu,caudal,p1,1.280,995.870,2751.050,0.40,0.927,NA
RtM1,C1,Male,dlCPu,caudal,p1,1.280,995.870,2751.050,0.45,0.943,NA
RtM1,C1,Male,dlCPu,caudal,p1,1.280,995.870,2751.050,0.50,0.966,NA
RtM1,C1,Male,dlCPu,caudal,p1,1.280,995.870,2751.050,0.60,1.005,NA
RtM1,C1,Male,dlCPu,caudal,p1,1.280,995.870,2751.050,0.70,1.045,NA
RtM1,C1,Male,dlCPu,caudal,p1,1.280,995.870,2751.050,0.80,1.029,NA
RtM1,C1,Male,vmCPu,caudal,p5,0.350,275.450,786.010,0.14,0.000,NA
RtM1,C1,Male,vmCPu,caudal,p5,0.350,275.450,786.010,0.16,0.000,NA
RtM1,C1,Male,vmCPu,caudal,p5,0.350,275.450,786.010,0.18,0.127,NA
RtM1,C1,Male,vmCPu,caudal,p5,0.350,275.450,786.010,0.20,0.178,NA
RtM1,C1,Male,vmCPu,caudal,p5,0.350,275.450,786.010,0.22,0.223,NA
RtM1,C1,Male,vmCPu,caudal,p5,0.350,275.450,786.010,0.24,0.236,NA
RtM1,C1,Male,vmCPu,caudal,p5,0.350,275.450,786.010,0.26,0.223,NA
RtM1,C1,Male,vmCPu,caudal,p5,0.350,275.450,786.010,0.30,0.261,NA
RtM1,C1,Male,vmCPu,caudal,p5,0.350,275.450,786.010,0.35,0.255,NA
RtM1,C1,Male,vmCPu,caudal,p5,0.350,275.450,786.010,0.40,0.236,NA
RtM1,C1,Male,vmCPu,caudal,p5,0.350,275.450,786.010,0.45,0.286,NA
RtM1,C1,Male,vmCPu,caudal,p5,0.350,275.450,786.010,0.50,0.274,NA
RtM1,C1,Male,vmCPu,caudal,p5,0.350,275.450,786.010,0.60,0.293,NA
RtM1,C1,Male,vmCPu,caudal,p5,0.350,275.450,786.010,0.70,0.286,NA
RtM1,C1,Male,vmCPu,caudal,p5,0.350,275.450,786.010,0.80,0.312,NA
RtM1,C1,Male,core,caudal,p3,0.890,720.420,1768.530,0.14,0.000,NA
RtM1,C1,Male,core,caudal,p3,0.890,720.420,1768.530,0.16,0.000,NA
RtM1,C1,Male,core,caudal,p3,0.890,720.420,1768.530,0.18,0.108,NA
RtM1,C1,Male,core,caudal,p3,0.890,720.420,1768.530,0.20,0.280,NA
RtM1,C1,Male,core,caudal,p3,0.890,720.420,1768.530,0.22,0.402,NA
RtM1,C1,Male,core,caudal,p3,0.890,720.420,1768.530,0.24,0.524,NA
RtM1,C1,Male,core,caudal,p3,0.890,720.420,1768.530,0.26,0.581,NA
RtM1,C1,Male,core,caudal,p3,0.890,720.420,1768.530,0.30,0.689,NA
RtM1,C1,Male,core,caudal,p3,0.890,720.420,1768.530,0.35,0.739,NA
RtM1,C1,Male,core,caudal,p3,0.890,720.420,1768.530,0.40,0.746,NA
RtM1,C1,Male,core,caudal,p3,0.890,720.420,1768.530,0.45,0.768,NA
RtM1,C1,Male,core,caudal,p3,0.890,720.420,1768.530,0.50,0.803,NA
RtM1,C1,Male,core,caudal,p3,0.890,720.420,1768.530,0.60,0.811,NA
RtM1,C1,Male,core,caudal,p3,0.890,720.420,1768.530,0.70,0.775,NA
RtM1,C1,Male,core,caudal,p3,0.890,720.420,1768.530,0.80,0.782,NA
RtM1,C1,Male,lshell,caudal,p2,0.440,339.020,786.010,0.14,0.000,NA
RtM1,C1,Male,lshell,caudal,p2,0.440,339.020,786.010,0.16,0.000,NA
RtM1,C1,Male,lshell,caudal,p2,0.440,339.020,786.010,0.18,0.052,NA
RtM1,C1,Male,lshell,caudal,p2,0.440,339.020,786.010,0.20,0.120,NA
RtM1,C1,Male,lshell,caudal,p2,0.440,339.020,786.010,0.22,0.157,NA
RtM1,C1,Male,lshell,caudal,p2,0.440,339.020,786.010,0.24,0.202,NA
RtM1,C1,Male,lshell,caudal,p2,0.440,339.020,786.010,0.26,0.217,NA
RtM1,C1,Male,lshell,caudal,p2,0.440,339.020,786.010,0.30,0.292,NA
RtM1,C1,Male,lshell,caudal,p2,0.440,339.020,786.010,0.35,0.322,NA
RtM1,C1,Male,lshell,caudal,p2,0.440,339.020,786.010,0.40,0.352,NA
RtM1,C1,Male,lshell,caudal,p2,0.440,339.020,786.010,0.45,0.352,NA
RtM1,C1,Male,lshell,caudal,p2,0.440,339.020,786.010,0.50,0.352,NA
RtM1,C1,Male,lshell,caudal,p2,0.440,339.020,786.010,0.60,0.381,NA
RtM1,C1,Male,lshell,caudal,p2,0.440,339.020,786.010,0.70,0.404,NA
RtM1,C1,Male,lshell,caudal,p2,0.440,339.020,786.010,0.80,0.404,NA
RtM1,C1,Male,mshell,caudal,p4,NA,NA,NA,0.14,NA,NA
RtM1,C1,Male,mshell,caudal,p4,NA,NA,NA,0.16,NA,NA
RtM1,C1,Male,mshell,caudal,p4,NA,NA,NA,0.18,NA,NA
RtM1,C1,Male,mshell,caudal,p4,NA,NA,NA,0.20,NA,NA
RtM1,C1,Male,mshell,caudal,p4,NA,NA,NA,0.22,NA,NA
RtM1,C1,Male,mshell,caudal,p4,NA,NA,NA,0.24,NA,NA
RtM1,C1,Male,mshell,caudal,p4,NA,NA,NA,0.26,NA,NA
RtM1,C1,Male,mshell,caudal,p4,NA,NA,NA,0.30,NA,NA
RtM1,C1,Male,mshell,caudal,p4,NA,NA,NA,0.35,NA,NA
RtM1,C1,Male,mshell,caudal,p4,NA,NA,NA,0.40,NA,NA
RtM1,C1,Male,mshell,caudal,p4,NA,NA,NA,0.45,NA,NA
RtM1,C1,Male,mshell,caudal,p4,NA,NA,NA,0.50,NA,NA
RtM1,C1,Male,mshell,caudal,p4,NA,NA,NA,0.60,NA,NA
RtM1,C1,Male,mshell,caudal,p4,NA,NA,NA,0.70,NA,NA
RtM1,C1,Male,mshell,caudal,p4,NA,NA,NA,0.80,NA,NA
RtM1,C2,Male,dlCPu,caudal,p3,1.930,1462.030,2358.040,0.14,0.000,NA
RtM1,C2,Male,dlCPu,caudal,p3,1.930,1462.030,2358.040,0.16,0.000,NA
RtM1,C2,Male,dlCPu,caudal,p3,1.930,1462.030,2358.040,0.18,0.584,NA
RtM1,C2,Male,dlCPu,caudal,p3,1.930,1462.030,2358.040,0.20,1.074,NA
RtM1,C2,Male,dlCPu,caudal,p3,1.930,1462.030,2358.040,0.22,1.247,NA
RtM1,C2,Male,dlCPu,caudal,p3,1.930,1462.030,2358.040,0.24,1.298,NA
RtM1,C2,Male,dlCPu,caudal,p3,1.930,1462.030,2358.040,0.26,1.291,NA
RtM1,C2,Male,dlCPu,caudal,p3,1.930,1462.030,2358.040,0.30,1.363,NA
RtM1,C2,Male,dlCPu,caudal,p3,1.930,1462.030,2358.040,0.35,1.399,NA
RtM1,C2,Male,dlCPu,caudal,p3,1.930,1462.030,2358.040,0.40,1.464,NA
RtM1,C2,Male,dlCPu,caudal,p3,1.930,1462.030,2358.040,0.45,1.500,NA
RtM1,C2,Male,dlCPu,caudal,p3,1.930,1462.030,2358.040,0.50,1.485,NA
RtM1,C2,Male,dlCPu,caudal,p3,1.930,1462.030,2358.040,0.60,1.536,NA
RtM1,C2,Male,dlCPu,caudal,p3,1.930,1462.030,2358.040,0.70,1.586,NA
RtM1,C2,Male,dlCPu,caudal,p3,1.930,1462.030,2358.040,0.80,1.565,NA
RtM1,C2,Male,vmCPu,caudal,p1,0.440,339.020,786.010,0.14,0.000,NA
RtM1,C2,Male,vmCPu,caudal,p1,0.440,339.020,786.010,0.16,0.000,NA
RtM1,C2,Male,vmCPu,caudal,p1,0.440,339.020,786.010,0.18,0.030,NA
RtM1,C2,Male,vmCPu,caudal,p1,0.440,339.020,786.010,0.20,0.131,NA
RtM1,C2,Male,vmCPu,caudal,p1,0.440,339.020,786.010,0.22,0.232,NA
RtM1,C2,Male,vmCPu,caudal,p1,0.440,339.020,786.010,0.24,0.232,NA
RtM1,C2,Male,vmCPu,caudal,p1,0.440,339.020,786.010,0.26,0.250,NA
RtM1,C2,Male,vmCPu,caudal,p1,0.440,339.020,786.010,0.30,0.268,NA
RtM1,C2,Male,vmCPu,caudal,p1,0.440,339.020,786.010,0.35,0.297,NA
RtM1,C2,Male,vmCPu,caudal,p1,0.440,339.020,786.010,0.40,0.309,NA
RtM1,C2,Male,vmCPu,caudal,p1,0.440,339.020,786.010,0.45,0.315,NA
RtM1,C2,Male,vmCPu,caudal,p1,0.440,339.020,786.010,0.50,0.303,NA
RtM1,C2,Male,vmCPu,caudal,p1,0.440,339.020,786.010,0.60,0.357,NA
RtM1,C2,Male,vmCPu,caudal,p1,0.440,339.020,786.010,0.70,0.333,NA
RtM1,C2,Male,vmCPu,caudal,p1,0.440,339.020,786.010,0.80,0.375,NA
RtM1,C2,Male,core,caudal,p4,2.160,1716.290,3144.060,0.14,0.000,NA
RtM1,C2,Male,core,caudal,p4,2.160,1716.290,3144.060,0.16,0.000,NA
RtM1,C2,Male,core,caudal,p4,2.160,1716.290,3144.060,0.18,0.000,NA
RtM1,C2,Male,core,caudal,p4,2.160,1716.290,3144.060,0.20,0.425,NA
RtM1,C2,Male,core,caudal,p4,2.160,1716.290,3144.060,0.22,0.729,NA
RtM1,C2,Male,core,caudal,p4,2.160,1716.290,3144.060,0.24,0.705,NA
RtM1,C2,Male,core,caudal,p4,2.160,1716.290,3144.060,0.26,1.018,NA
RtM1,C2,Male,core,caudal,p4,2.160,1716.290,3144.060,0.30,1.090,NA
RtM1,C2,Male,core,caudal,p4,2.160,1716.290,3144.060,0.35,1.218,NA
RtM1,C2,Male,core,caudal,p4,2.160,1716.290,3144.060,0.40,1.354,NA
RtM1,C2,Male,core,caudal,p4,2.160,1716.290,3144.060,0.45,1.370,NA
RtM1,C2,Male,core,caudal,p4,2.160,1716.290,3144.060,0.50,1.418,NA
RtM1,C2,Male,core,caudal,p4,2.160,1716.290,3144.060,0.60,1.506,NA
RtM1,C2,Male,core,caudal,p4,2.160,1716.290,3144.060,0.70,1.498,NA
RtM1,C2,Male,core,caudal,p4,2.160,1716.290,3144.060,0.80,1.563,NA
RtM1,C2,Male,lshell,caudal,p5,0.080,127.130,2161.540,0.14,0.000,NA
RtM1,C2,Male,lshell,caudal,p5,0.080,127.130,2161.540,0.16,0.000,NA
RtM1,C2,Male,lshell,caudal,p5,0.080,127.130,2161.540,0.18,0.000,NA
RtM1,C2,Male,lshell,caudal,p5,0.080,127.130,2161.540,0.20,0.000,NA
RtM1,C2,Male,lshell,caudal,p5,0.080,127.130,2161.540,0.22,0.000,NA
RtM1,C2,Male,lshell,caudal,p5,0.080,127.130,2161.540,0.24,0.000,NA
RtM1,C2,Male,lshell,caudal,p5,0.080,127.130,2161.540,0.26,0.000,NA
RtM1,C2,Male,lshell,caudal,p5,0.080,127.130,2161.540,0.30,0.009,NA
RtM1,C2,Male,lshell,caudal,p5,0.080,127.130,2161.540,0.35,0.026,NA
RtM1,C2,Male,lshell,caudal,p5,0.080,127.130,2161.540,0.40,0.035,NA
RtM1,C2,Male,lshell,caudal,p5,0.080,127.130,2161.540,0.45,0.026,NA
RtM1,C2,Male,lshell,caudal,p5,0.080,127.130,2161.540,0.50,0.053,NA
RtM1,C2,Male,lshell,caudal,p5,0.080,127.130,2161.540,0.60,0.062,NA
RtM1,C2,Male,lshell,caudal,p5,0.080,127.130,2161.540,0.70,0.044,NA
RtM1,C2,Male,lshell,caudal,p5,0.080,127.130,2161.540,0.80,0.062,NA
RtM1,C2,Male,mshell,caudal,p2,NA,NA,NA,0.14,NA,NA
RtM1,C2,Male,mshell,caudal,p2,NA,NA,NA,0.16,NA,NA
RtM1,C2,Male,mshell,caudal,p2,NA,NA,NA,0.18,NA,NA
RtM1,C2,Male,mshell,caudal,p2,NA,NA,NA,0.20,NA,NA
RtM1,C2,Male,mshell,caudal,p2,NA,NA,NA,0.22,NA,NA
RtM1,C2,Male,mshell,caudal,p2,NA,NA,NA,0.24,NA,NA
RtM1,C2,Male,mshell,caudal,p2,NA,NA,NA,0.26,NA,NA
RtM1,C2,Male,mshell,caudal,p2,NA,NA,NA,0.30,NA,NA
RtM1,C2,Male,mshell,caudal,p2,NA,NA,NA,0.35,NA,NA
RtM1,C2,Male,mshell,caudal,p2,NA,NA,NA,0.40,NA,NA
RtM1,C2,Male,mshell,caudal,p2,NA,NA,NA,0.45,NA,NA
RtM1,C2,Male,mshell,caudal,p2,NA,NA,NA,0.50,NA,NA
RtM1,C2,Male,mshell,caudal,p2,NA,NA,NA,0.60,NA,NA
RtM1,C2,Male,mshell,caudal,p2,NA,NA,NA,0.70,NA,NA
RtM1,C2,Male,mshell,caudal,p2,NA,NA,NA,0.80,NA,NA
RtM2,C1,Male,dlCPu,caudal,p3,0.210,190.700,589.510,0.14,0.000,NA
RtM2,C1,Male,dlCPu,caudal,p3,0.210,190.700,589.510,0.16,0.000,NA
RtM2,C1,Male,dlCPu,caudal,p3,0.210,190.700,589.510,0.18,0.033,NA
RtM2,C1,Male,dlCPu,caudal,p3,0.210,190.700,589.510,0.20,0.049,NA
RtM2,C1,Male,dlCPu,caudal,p3,0.210,190.700,589.510,0.22,0.057,NA
RtM2,C1,Male,dlCPu,caudal,p3,0.210,190.700,589.510,0.24,0.065,NA
RtM2,C1,Male,dlCPu,caudal,p3,0.210,190.700,589.510,0.26,0.073,NA
RtM2,C1,Male,dlCPu,caudal,p3,0.210,190.700,589.510,0.30,0.090,NA
RtM2,C1,Male,dlCPu,caudal,p3,0.210,190.700,589.510,0.35,0.098,NA
RtM2,C1,Male,dlCPu,caudal,p3,0.210,190.700,589.510,0.40,0.131,NA
RtM2,C1,Male,dlCPu,caudal,p3,0.210,190.700,589.510,0.45,0.155,NA
RtM2,C1,Male,dlCPu,caudal,p3,0.210,190.700,589.510,0.50,0.155,NA
RtM2,C1,Male,dlCPu,caudal,p3,0.210,190.700,589.510,0.60,0.171,NA
RtM2,C1,Male,dlCPu,caudal,p3,0.210,190.700,589.510,0.70,0.155,NA
RtM2,C1,Male,dlCPu,caudal,p3,0.210,190.700,589.510,0.80,0.188,NA
RtM2,C1,Male,vmCPu,caudal,p2,0.920,762.800,1965.030,0.14,0.000,NA
RtM2,C1,Male,vmCPu,caudal,p2,0.920,762.800,1965.030,0.16,0.000,NA
RtM2,C1,Male,vmCPu,caudal,p2,0.920,762.800,1965.030,0.18,0.219,NA
RtM2,C1,Male,vmCPu,caudal,p2,0.920,762.800,1965.030,0.20,0.364,NA
RtM2,C1,Male,vmCPu,caudal,p2,0.920,762.800,1965.030,0.22,0.446,NA
RtM2,C1,Male,vmCPu,caudal,p2,0.920,762.800,1965.030,0.24,0.519,NA
RtM2,C1,Male,vmCPu,caudal,p2,0.920,762.800,1965.030,0.26,0.537,NA
RtM2,C1,Male,vmCPu,caudal,p2,0.920,762.800,1965.030,0.30,0.638,NA
RtM2,C1,Male,vmCPu,caudal,p2,0.920,762.800,1965.030,0.35,0.701,NA
RtM2,C1,Male,vmCPu,caudal,p2,0.920,762.800,1965.030,0.40,0.756,NA
RtM2,C1,Male,vmCPu,caudal,p2,0.920,762.800,1965.030,0.45,0.820,NA
RtM2,C1,Male,vmCPu,caudal,p2,0.920,762.800,1965.030,0.50,0.811,NA
RtM2,C1,Male,vmCPu,caudal,p2,0.920,762.800,1965.030,0.60,0.874,NA
RtM2,C1,Male,vmCPu,caudal,p2,0.920,762.800,1965.030,0.70,0.856,NA
RtM2,C1,Male,vmCPu,caudal,p2,0.920,762.800,1965.030,0.80,0.847,NA
RtM2,C1,Male,core,caudal,p1,1.120,826.360,1768.530,0.14,0.000,NA
RtM2,C1,Male,core,caudal,p1,1.120,826.360,1768.530,0.16,0.039,NA
RtM2,C1,Male,core,caudal,p1,1.120,826.360,1768.530,0.18,0.573,NA
RtM2,C1,Male,core,caudal,p1,1.120,826.360,1768.530,0.20,0.740,NA
RtM2,C1,Male,core,caudal,p1,1.120,826.360,1768.530,0.22,0.790,NA
RtM2,C1,Male,core,caudal,p1,1.120,826.360,1768.530,0.24,0.859,NA
RtM2,C1,Male,core,caudal,p1,1.120,826.360,1768.530,0.26,0.888,NA
RtM2,C1,Male,core,caudal,p1,1.120,826.360,1768.530,0.30,0.908,NA
RtM2,C1,Male,core,caudal,p1,1.120,826.360,1768.530,0.35,0.918,NA
RtM2,C1,Male,core,caudal,p1,1.120,826.360,1768.530,0.40,0.918,NA
RtM2,C1,Male,core,caudal,p1,1.120,826.360,1768.530,0.45,0.928,NA
RtM2,C1,Male,core,caudal,p1,1.120,826.360,1768.530,0.50,0.918,NA
RtM2,C1,Male,core,caudal,p1,1.120,826.360,1768.530,0.60,0.898,NA
RtM2,C1,Male,core,caudal,p1,1.120,826.360,1768.530,0.70,0.898,NA
RtM2,C1,Male,core,caudal,p1,1.120,826.360,1768.530,0.80,0.879,NA
RtM2,C1,Male,lshell,caudal,p5,0.510,423.780,1375.520,0.14,0.000,NA
RtM2,C1,Male,lshell,caudal,p5,0.510,423.780,1375.520,0.16,0.000,NA
RtM2,C1,Male,lshell,caudal,p5,0.510,423.780,1375.520,0.18,0.000,NA
RtM2,C1,Male,lshell,caudal,p5,0.510,423.780,1375.520,0.20,0.000,NA
RtM2,C1,Male,lshell,caudal,p5,0.510,423.780,1375.520,0.22,0.000,NA
RtM2,C1,Male,lshell,caudal,p5,0.510,423.780,1375.520,0.24,0.032,NA
RtM2,C1,Male,lshell,caudal,p5,0.510,423.780,1375.520,0.26,0.047,NA
RtM2,C1,Male,lshell,caudal,p5,0.510,423.780,1375.520,0.30,0.055,NA
RtM2,C1,Male,lshell,caudal,p5,0.510,423.780,1375.520,0.35,0.079,NA
RtM2,C1,Male,lshell,caudal,p5,0.510,423.780,1375.520,0.40,0.126,NA
RtM2,C1,Male,lshell,caudal,p5,0.510,423.780,1375.520,0.45,0.166,NA
RtM2,C1,Male,lshell,caudal,p5,0.510,423.780,1375.520,0.50,0.197,NA
RtM2,C1,Male,lshell,caudal,p5,0.510,423.780,1375.520,0.60,0.323,NA
RtM2,C1,Male,lshell,caudal,p5,0.510,423.780,1375.520,0.70,0.386,NA
RtM2,C1,Male,lshell,caudal,p5,0.510,423.780,1375.520,0.80,0.434,NA
RtM2,C1,Male,mshell,caudal,p4,NA,NA,NA,0.14,NA,NA
RtM2,C1,Male,mshell,caudal,p4,NA,NA,NA,0.16,NA,NA
RtM2,C1,Male,mshell,caudal,p4,NA,NA,NA,0.18,NA,NA
RtM2,C1,Male,mshell,caudal,p4,NA,NA,NA,0.20,NA,NA
RtM2,C1,Male,mshell,caudal,p4,NA,NA,NA,0.22,NA,NA
RtM2,C1,Male,mshell,caudal,p4,NA,NA,NA,0.24,NA,NA
RtM2,C1,Male,mshell,caudal,p4,NA,NA,NA,0.26,NA,NA
RtM2,C1,Male,mshell,caudal,p4,NA,NA,NA,0.30,NA,NA
RtM2,C1,Male,mshell,caudal,p4,NA,NA,NA,0.35,NA,NA
RtM2,C1,Male,mshell,caudal,p4,NA,NA,NA,0.40,NA,NA
RtM2,C1,Male,mshell,caudal,p4,NA,NA,NA,0.45,NA,NA
RtM2,C1,Male,mshell,caudal,p4,NA,NA,NA,0.50,NA,NA
RtM2,C1,Male,mshell,caudal,p4,NA,NA,NA,0.60,NA,NA
RtM2,C1,Male,mshell,caudal,p4,NA,NA,NA,0.70,NA,NA
RtM2,C1,Male,mshell,caudal,p4,NA,NA,NA,0.80,NA,NA
RtM2,C2,Male,dlCPu,caudal,p3,0.960,699.230,1572.030,0.14,0.000,NA
RtM2,C2,Male,dlCPu,caudal,p3,0.960,699.230,1572.030,0.16,0.000,NA
RtM2,C2,Male,dlCPu,caudal,p3,0.960,699.230,1572.030,0.18,0.000,NA
RtM2,C2,Male,dlCPu,caudal,p3,0.960,699.230,1572.030,0.20,0.309,NA
RtM2,C2,Male,dlCPu,caudal,p3,0.960,699.230,1572.030,0.22,0.434,NA
RtM2,C2,Male,dlCPu,caudal,p3,0.960,699.230,1572.030,0.24,0.514,NA
RtM2,C2,Male,dlCPu,caudal,p3,0.960,699.230,1572.030,0.26,0.470,NA
RtM2,C2,Male,dlCPu,caudal,p3,0.960,699.230,1572.030,0.30,0.551,NA
RtM2,C2,Male,dlCPu,caudal,p3,0.960,699.230,1572.030,0.35,0.602,NA
RtM2,C2,Male,dlCPu,caudal,p3,0.960,699.230,1572.030,0.40,0.632,NA
RtM2,C2,Male,dlCPu,caudal,p3,0.960,699.230,1572.030,0.45,0.617,NA
RtM2,C2,Male,dlCPu,caudal,p3,0.960,699.230,1572.030,0.50,0.669,NA
RtM2,C2,Male,dlCPu,caudal,p3,0.960,699.230,1572.030,0.60,0.669,NA
RtM2,C2,Male,dlCPu,caudal,p3,0.960,699.230,1572.030,0.70,0.661,NA
RtM2,C2,Male,dlCPu,caudal,p3,0.960,699.230,1572.030,0.80,0.713,NA
RtM2,C2,Male,vmCPu,caudal,p1,0.570,402.590,786.010,0.14,0.000,NA
RtM2,C2,Male,vmCPu,caudal,p1,0.570,402.590,786.010,0.16,0.000,NA
RtM2,C2,Male,vmCPu,caudal,p1,0.570,402.590,786.010,0.18,0.034,NA
RtM2,C2,Male,vmCPu,caudal,p1,0.570,402.590,786.010,0.20,0.364,NA
RtM2,C2,Male,vmCPu,caudal,p1,0.570,402.590,786.010,0.22,0.483,NA
RtM2,C2,Male,vmCPu,caudal,p1,0.570,402.590,786.010,0.24,0.457,NA
RtM2,C2,Male,vmCPu,caudal,p1,0.570,402.590,786.010,0.26,0.517,NA
RtM2,C2,Male,vmCPu,caudal,p1,0.570,402.590,786.010,0.30,0.517,NA
RtM2,C2,Male,vmCPu,caudal,p1,0.570,402.590,786.010,0.35,0.525,NA
RtM2,C2,Male,vmCPu,caudal,p1,0.570,402.590,786.010,0.40,0.542,NA
RtM2,C2,Male,vmCPu,caudal,p1,0.570,402.590,786.010,0.45,0.525,NA
RtM2,C2,Male,vmCPu,caudal,p1,0.570,402.590,786.010,0.50,0.525,NA
RtM2,C2,Male,vmCPu,caudal,p1,0.570,402.590,786.010,0.60,0.508,NA
RtM2,C2,Male,vmCPu,caudal,p1,0.570,402.590,786.010,0.70,0.525,NA
RtM2,C2,Male,vmCPu,caudal,p1,0.570,402.590,786.010,0.80,0.567,NA
RtM2,C2,Male,core,caudal,p2,1.780,1313.710,2554.550,0.14,0.000,NA
RtM2,C2,Male,core,caudal,p2,1.780,1313.710,2554.550,0.16,0.000,NA
RtM2,C2,Male,core,caudal,p2,1.780,1313.710,2554.550,0.18,0.039,NA
RtM2,C2,Male,core,caudal,p2,1.780,1313.710,2554.550,0.20,0.679,NA
RtM2,C2,Male,core,caudal,p2,1.780,1313.710,2554.550,0.22,0.881,NA
RtM2,C2,Male,core,caudal,p2,1.780,1313.710,2554.550,0.24,1.069,NA
RtM2,C2,Male,core,caudal,p2,1.780,1313.710,2554.550,0.26,1.147,NA
RtM2,C2,Male,core,caudal,p2,1.780,1313.710,2554.550,0.30,1.334,NA
RtM2,C2,Male,core,caudal,p2,1.780,1313.710,2554.550,0.35,1.404,NA
RtM2,C2,Male,core,caudal,p2,1.780,1313.710,2554.550,0.40,1.443,NA
RtM2,C2,Male,core,caudal,p2,1.780,1313.710,2554.550,0.45,1.357,NA
RtM2,C2,Male,core,caudal,p2,1.780,1313.710,2554.550,0.50,1.342,NA
RtM2,C2,Male,core,caudal,p2,1.780,1313.710,2554.550,0.60,1.303,NA
RtM2,C2,Male,core,caudal,p2,1.780,1313.710,2554.550,0.70,1.310,NA
RtM2,C2,Male,core,caudal,p2,1.780,1313.710,2554.550,0.80,1.303,NA
